date,ticker,open,high,low,close,volume
2020-10-27,AAPL,115.11907406610139,116.90332596483336,114.17212826066233,116.22550964355469,92276800
2020-10-28,AAPL,114.68049055616365,115.05926735126171,110.74317242798695,110.84284973144531,143937800
2020-10-29,AAPL,112.00909331617943,116.55444509670713,111.83963354163905,114.94961547851562,146129200
2020-10-30,AAPL,110.70329164826492,111.63030494990427,107.37402281316912,108.51036071777344,190272600
2020-11-02,AAPL,108.75956625545085,110.32452349928825,106.97531438045687,108.420654296875,122866900
2020-11-03,AAPL,109.30779543806835,111.13191202723308,108.3807821267363,110.08528900146484,107624400
2020-11-04,AAPL,113.77340689234913,115.21874677028138,111.98915506486541,114.58080291748047,138235500
2020-11-05,AAPL,117.5711643746384,119.23580643740482,116.49463890543673,118.64769744873047,126387100
2020-11-06,AAPL,118.1434582580711,119.02214249610826,115.95672344832894,118.51290893554688,114457900
2020-11-09,AAPL,120.32020192446754,121.80797656210882,115.87684481761472,116.14643859863281,154515300
2020-11-10,AAPL,115.37759504795174,117.41454453347052,113.95970798919319,115.79696655273438,138023400
2020-11-11,AAPL,117.01514294945322,119.45149703918226,116.26626202630477,119.31170654296875,112295000
2020-11-12,AAPL,119.44151928129745,120.35015752065344,118.39308292556818,119.0321273803711,103162300
2020-11-13,AAPL,119.26178586467934,119.49143841530626,117.69412876835943,119.0820541381836,81581900
2020-11-16,AAPL,118.74256047617813,120.80947157383169,117.97371272673674,120.1205062866211,91183000
2020-11-17,AAPL,119.3716255815181,120.48994958293325,118.78250194390613,119.21186065673828,74271000
2020-11-18,AAPL,118.43302589161148,119.6412195697394,117.82393544638843,117.85388946533203,76322100
2020-11-19,AAPL,117.41454578657738,118.88235368699276,116.63571080709437,118.46298217773438,74113000
2020-11-20,AAPL,118.46298034997209,118.59278363854617,117.11499616643329,117.1649169921875,73604300
2020-11-23,AAPL,117.005155495721,117.44450140749055,113.58027310954355,113.68012237548828,127959300
2020-11-24,AAPL,113.74003921014095,115.67713936721066,112.42200146115039,114.99815368652344,113874200
2020-11-25,AAPL,115.37759302382497,116.57579947875776,114.99815513928793,115.85687255859375,76499200
2020-11-27,AAPL,116.39606407797456,117.31468950565338,116.04658784114137,116.41603088378906,46691300
2020-11-30,AAPL,116.79546961050283,120.78950118754383,116.63570469077608,118.87236785888672,169410200
2020-12-01,AAPL,120.82944808681562,123.28577670778594,119.8309401457052,122.53689575195312,128166800
2020-12-02,AAPL,121.83793111661059,123.18592288166762,120.7096199273665,122.89635467529297,89004200
2020-12-03,AAPL,123.33569772574727,123.5953119238826,122.02765475862292,122.7565689086914,78967600
2020-12-04,AAPL,122.41707269315073,122.67668689223262,121.3386822828208,122.06759643554688,78260400
2020-12-07,AAPL,122.12749957084807,124.38412957192692,122.06759153423889,123.56535339355469,86712000
2020-12-08,AAPL,124.18443263722241,124.793523077296,122.90633610168368,124.19441223144531,82225500
2020-12-09,AAPL,124.34418618418464,125.76206555808128,120.81945455529613,121.5982894897461,115089200
2020-12-10,AAPL,120.32020462303923,123.68517906327952,119.97072837387739,123.05611419677734,81312200
2020-12-11,AAPL,122.24732276314923,122.57683219917647,120.37013064961867,122.22735595703125,86939800
2020-12-14,AAPL,122.4170656539128,123.16594657057786,121.35864972945625,121.5982894897461,79184500
2020-12-15,AAPL,124.15446725515407,127.70916052005632,123.94478151263627,127.6891860961914,157572300
2020-12-16,AAPL,127.21989614432091,128.17845520329686,126.37115832858332,127.61929321289062,98208600
2020-12-17,AAPL,128.7076636228698,129.386656925025,127.84894621003981,128.50796508789062,94359800
2020-12-18,AAPL,128.76758717751528,128.90737767590872,125.93182074293927,126.47101593017578,192541500
2020-12-21,AAPL,124.83345627606445,128.11854823306757,123.26579915304578,128.03866577148438,121251600
2020-12-22,AAPL,131.413626138315,134.20945132274937,129.4565439384045,131.6832275390625,168904800
2020-12-23,AAPL,131.96280910651203,132.23239527240779,130.58486331451405,130.7646026611328,88223700
2020-12-24,AAPL,131.12406251826343,133.26086877859598,130.90438956510596,131.77308654785156,54930100
2020-12-28,AAPL,133.7900850619683,137.13507753676635,133.31079027833763,136.48605346679688,124486200
2020-12-29,AAPL,137.84402540760468,138.58291153881558,134.1395542129394,134.66876220703125,121047300
2020-12-30,AAPL,135.37770259402348,135.7870944887121,133.20094745437817,133.52047729492188,96452100
2020-12-31,AAPL,133.87994506641033,134.5389639567753,131.52346574245658,132.4920196533203,99116600
2021-01-04,AAPL,133.32078727623104,133.41064933611437,126.57087132392054,129.2169189453125,143301900
2021-01-05,AAPL,128.69768229308588,131.54343589523126,128.23836195640877,130.81451416015625,97664900
2021-01-06,AAPL,127.52943391794884,130.85446715002885,126.19142933164775,126.41110229492188,155088000
2021-01-07,AAPL,128.1684773121065,131.43360247892267,127.66922335175019,130.7246551513672,109578200
2021-01-08,AAPL,132.23238893590212,132.43210269724648,130.03567468530198,131.85296630859375,105158200
2021-01-11,AAPL,128.99724525446183,129.9757787851119,128.30827232715944,128.7875518798828,100620900
2021-01-12,AAPL,128.30826319088519,129.4964900115058,126.67071086932953,128.60781860351562,91951100
2021-01-13,AAPL,128.56787538526225,131.25386415061908,128.2982892145102,130.6947021484375,88636800
2021-01-14,AAPL,130.60484608799663,130.80454463565573,128.56788128821532,128.71766662597656,90221800
2021-01-15,AAPL,128.58784685019256,130.0257006718624,126.8105039973011,126.9502944946289,111598500
2021-01-19,AAPL,127.58933852545866,128.51795879724472,126.75059554424776,127.63926696777344,90757300
2021-01-20,AAPL,128.46802591508452,132.2923128767027,128.35818944019655,131.83299255371094,104319500
2021-01-21,AAPL,133.60036015215695,139.46159665335708,133.39066678917416,136.665771484375,120529500
2021-01-22,AAPL,136.07665743674738,139.64133800657282,134.81854294882046,138.8625030517578,114459400
